id,セグメント,表示名,言語,関係性,母の日適合度,優先度,接触1送信,サンプル承諾,接触2送信,相談,接触3送信,見積,成約,次アクション日時,ステータス,メモ
LEAD-001,RYUSEI,候補01,TH,既存スタッフ・取引先,高,A,,,,,,,,,未接触,
LEAD-002,RYUSEI,候補02,TH,既存スタッフ・取引先,高,A,,,,,,,,,未接触,
LEAD-003,RYUSEI,候補03,TH,既存スタッフ・取引先,高,A,,,,,,,,,未接触,
LEAD-004,RYUSEI,候補04,TH,既存スタッフ・取引先,高,A,,,,,,,,,未接触,
LEAD-005,RYUSEI,候補05,TH,既存スタッフ・取引先,高,A,,,,,,,,,未接触,
LEAD-006,STC,候補06,JA,既存メンバー,高,A,,,,,,,,,未接触,タイ人配偶者・義母との接点を確認
LEAD-007,STC,候補07,JA,既存メンバー,高,A,,,,,,,,,未接触,タイ人配偶者・義母との接点を確認
LEAD-008,STC,候補08,JA,既存メンバー,中,B,,,,,,,,,未接触,
LEAD-009,STC,候補09,JA,既存メンバー,中,B,,,,,,,,,未接触,
LEAD-010,STC,候補10,JA,既存メンバー,中,B,,,,,,,,,未接触,
LEAD-011,近隣店舗,候補11,TH,店主・知人,高,A,,,,,,,,,未接触,個人ギフト受注後にShop Story候補
LEAD-012,近隣店舗,候補12,TH,店主・知人,中,B,,,,,,,,,未接触,個人ギフト受注後にShop Story候補
LEAD-013,近隣店舗,候補13,TH,店主・知人,中,B,,,,,,,,,未接触,個人ギフト受注後にShop Story候補
LEAD-014,紹介者,候補14,JA/TH,家族・友人,高,A,,,,,,,,,未接触,本人購入より紹介依頼
LEAD-015,紹介者,候補15,JA/TH,家族・友人,高,A,,,,,,,,,未接触,本人購入より紹介依頼
